GRE,GPA,University_Rating,Admission
307.4507122951685,4.059742174634401,3,1
297.9260354824322,3.8698534731651075,1,1
309.7153280715104,3.5238521479680696,3,1
322.8454478461204,3.2412252889177706,2,1
296.48769937914994,3.779289325445436,4,1
296.4879456457623,3.6573941541687,5,1
323.68819223261085,3.858077288011093,1,1
311.51152093729365,3.754068720672788,5,1
292.9578842109757,3.919821086127734,3,1
308.13840065378946,3.2859059153757726,2,1
293.04873460781306,4.02695762625373,1,1
293.0140536964461,3.57903984187696,3,1
303.62943407349053,4.3301043490501065,4,1
271.30079633013304,3.2243248727641727,4,0
274.1262325123045,4.1943855212661,1,1
291.5656870613854,3.5791643133850592,1,1
284.80753319498365,3.239432798554221,3,1
304.7137099889291,3.3064456663782713,2,1
286.3796388671818,3.371861076722272,2,1
278.8154444799706,3.6696663785607666,2,0
321.9847315338233,3.7091341952142,4,1
296.61335549270194,3.2705199984245685,5,0
301.01292307031883,3.4902581630956067,3,1
278.62877720679813,4.356908143444746,5,1
291.83425913212227,4.191017268040285,3,0
301.663838845648,3.674529467869613,3,0
282.73509633866547,3.51520139126728,2,0
305.63547027518507,3.5480125306873047,4,1
290.9904196512179,3.7454071890921665,5,1
295.62459375310084,3.0908829739206376,4,1
290.97440081655907,3.397049385030662,3,1
327.78417276763406,2.832566370448964,4,1
299.797541628931,3.6596892490421116,2,1
284.1343360656615,3.7588783758810966,4,0
312.33817368154786,3.3067254150802503,3,1
281.68734525043465,4.129594705316013,3,0
303.1329539250713,3.0096937347990638,3,1
270.6049481418034,2.914250047916072,4,1
280.07720926652354,3.589780727423989,1,1
302.95291853803684,3.918839321044862,4,1
311.07699869993115,4.173571076583148,2,1
302.57052421784954,3.316446294852424,4,1
298.2652757641764,3.9314723333725183,4,0
295.48344456616064,3.484596612199717,4,1
277.8221701444886,3.430949080023672,3,1
289.2023368740794,3.853463974994669,3,1
293.09041843560317,3.7609291513653678,2,1
315.85683339328375,2.8694431372063,4,1
305.15427434352694,4.090616139890359,2,1
273.55439766955897,4.052036541658981,3,1
304.86125954092194,3.249774919396188,2,1
294.22376579375526,3.6583214133749635,2,1
289.8461699954106,3.6976120745130956,4,1
309.175144332613,3.6042695063295627,1,1
315.46499283743924,3.2798779384618317,4,1
313.969201786743,3.2313506528247795,3,1
287.4117371516604,3.489778371603422,1,1
295.36181436223177,3.9690916077037457,3,1
304.96895147105346,3.717440061837773,1,1
314.6331769068354,3.351754267165558,2,1
292.81238643232064,3.808679484259338,4,0
297.21511535004277,2.3605829517479697,1,0
283.40497538990957,3.959506280148841,4,1
282.05690063878995,2.8041144884887603,1,1
312.187887335913,3.355023623438747,2,1
